Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Dotion
USA,OR,2019,10,Male,15,Right-Handed,183,26,190,3,Car,15,0.112,38,Football (American),900,100,80,600,400,1000,26,Same length,95,106,Ring finger,December,Winter,No,No,Rice/Noodle dishes,Soft drink (caffeited),Science,7,8,6,Yes - broadband connection,Myspace Facebook other social networking sites or blog,4,4,1000,0,100,200,300,500,700,200,600,300,200,100,A lot,Some college,Ra/Hi ho,Fly,Famous,Politician,Environment
USA,OR,2019,11,Male,17,Left-Handed,,,,,,18,0.5,60,Basketball,400,600,400,400,700,1000,20,Same length,50,60,Ring finger,Aril,Fall,No,No,Meat,Water,Geograhy,7,8,4,Yes - broadband connection,Internet chat or instant messaging,10,20,40,10,350,600,400,10,60,120,150,0,15,100,A lot,Graduate degree,Ra/Hi ho,Super strength,Rich,,Arts culture sorts
USA,OR,2019,10,Female,17,Right-Handed,62,24,152,1,Car,10,0.732,66,Tennis,1000,1000,1000,1000,500,800,24,Same length,9.6,8,Index finger,Aril,Fall,No,No,Breads/Sandwiches,Water,English,7,8,4,Yes - broadband connection,Myspace Facebook other social networking sites or blog,200,230,15,50,20,5,30,25,40,45,50,30,0,25,A lot,Graduate degree,Other,Freeze time,Hay,Other,Environment
USA,OR,2019,10,Female,15,Right-Handed,162,24,162,1,Car,7,0.574,43,Soccer,900,800,1000,900,200,900,24,Same length,8,9,Ring finger,March,Fall,No,No,Fruit,Water,Science,,6,3,Yes - broadband connection,Myspace Facebook other social networking sites or blog,90,90,44,1,5,6,120,0,14,14,24,120,0,24,A lot,Graduate degree,Other,Telepathy,Hay,Relative,Wildlife animals
USA,OR,2019,10,Female,17,Right-Handed,168,23,163,2,Car,7,0.41,36,Soccer,950,900,750,600,400,500,23,Same length,82,81,Index finger,August,Fall,Yes,No,Pizza/Pasta,Tea,Mathematics and statistics,6,10,5,Yes - other,Myspace Facebook other social networking sites or blog,0,10,24,,20,5,,,35,,,28,12,20,A lot,Graduate degree,Country,Fly,Hay,Relative,Wildlife animals
USA,OR,2019,9,Female,15,Right-Handed,160,23,134,2,Car,7,0.471,45,Other,241,342,422,53,0,27,20,Right foot,75,70,Index finger,November,Sring,No,No,No favorite,Water,History,8,8,5,Yes - broadband connection,In person,21,21,35,0,10,100,100,0,0,5,0,0,10,20,A lot,Some college,Country,Freeze time,Hay,Other,Wildlife animals
USA,OR,2019,8,Female,13,Right-Handed,157.5,23,165,1,Car,20,0.427,49,Other,890,500,890,500,600,700,23,Same length,65,70,Ring finger,March,Sring,No,No,No favorite,Other,Geograhy,7.5,10,4,Yes - other,In person,40,40,50,1,7,40,10,0,10,30,50,40,0,20,Some,Undergraduate degree,Other,Telepathy,Hay,Doctor or nurse,Environment
USA,OR,2019,10,Female,16,Right-Handed,159,25,162,2,Walk,5,0.593,50,Gymstics,997,887,778,655,10,57,25,Same length,8.5,7.5,Same length,December,Summer,No,No,Sous,Coffee,Art,4,3,7,Yes - other,In person,0,0,7,0,25,78,56,15,0,0,5,60,40,19,A lot,Graduate degree,Po,Freeze time,Hay,Doctor or nurse,Health
USA,OR,2019,8,Female,12,Right-Handed,160,23,152,1,Car,30,0.487,40,Bowling,800,940,999,780,990,708,24,Left foot,80,76,Index finger,Aril,Summer,Yes,No,Meat,Water,English,7,9,4,Yes - other,Text messaging,50,20,60,6,3,7,6,1,0,66,30,10,2,16,A lot,Some college,Po,Invisibility,Hay,Friend,Environment
USA,OR,2019,10,Male,14,Right-Handed,171,26.5,179.5,1,Bicycle,8,0.89,45,Cycling,1000,1000,1000,1000,300,500,25.5,Right foot,100,107,Ring finger,Setember,Winter,No,No,Seafood,Water,Music,7,6,3,Yes - broadband connection,Myspace Facebook other social networking sites or blog,4,10,80,4,4,4,12,5,16,18,20,10,0,16,Some,Graduate degree,Other,Fly,Famous,Religious figure,Religious
USA,OR,2019,8,Male,13,Right-Handed,170.6,25,162,1,Walk,40,0.445,43,Other,1000,1000,500,500,300,300,25,Same length,80,60,Index finger,January,Fall,Yes,No,Seafood,Water,Music,7,11,4,Yes - other,Text messaging,5,8,49,21,35,14,21,7,35,7,25,12,0,15,Some,Graduate degree,Rock and roll,Telepathy,Hay,Relative,Health
USA,OR,2019,10,Female,15,Right-Handed,162,24,168,2,Car,20,0.704,57,Dancing,2,5,4,3,6,1,24,Same length,77,85,Ring finger,March,Summer,Yes,No,Seafood,Water,Art,7,10,4,Yes - broadband connection,Text messaging,50,50,56,1,7,28,6,0,0,10000,10000,6,0,14,A lot,Graduate degree,Other,Invisibility,Hay,Actor,Intertiol aid
USA,OR,2019,11,Female,16,Right-Handed,162,25,73,1,Walk,3,0.643,79,Other,,,,,,,25,Same length,88,80,Index finger,December,Fall,Yes,No,Rice/Noodle dishes,Water,Music,7,8,4,Yes - other,In person,41,26,14,25,7,21,14,0,6,25,12,0,0,14,Some,High school,Rhythm and blues (R&B),Freeze time,Rich,Musician or singer,Arts culture sorts
USA,OR,2019,10,Female,15,Right-Handed,174,28,169,1,Car,15,0.691,52,Walking/Hiking,1000,500,800,700,100,300,29,Left foot,90,87,Index finger,Setember,Sring,No,Yes,Fruit,Tea,Art,8,9,5,Yes - broadband connection,Text messaging,20,20,19,1,8,32,5,3,10,2,7,0,0,14,Some,Some college,Other,Fly,Hay,Friend,Environment
USA,OR,2019,10,Male,17,Right-Handed,187,28,187,1,Car,8,0.6,50.1,Basketball,800,750,800,900,200,950,28,Same length,95,93,Index finger,November,Winter,No,No,Pizza/Pasta,Water,Geograhy,6,7,4,Yes - broadband connection,Myspace Facebook other social networking sites or blog,17,17,12,14,12,8,24,12,12,3,5,8,0,13,Very little,Graduate degree,Ra/Hi ho,Telepathy,Hay,Sorts erson,Intertiol aid
USA,OR,2019,10,Female,16,Ambidextrous,166,21,164,2,Walk,15,0.3,44,Martial Arts,1000,800,600,800,500,300,21,Same length,80,80,Same length,January,Fall,Yes,Yes,Breads/Sandwiches,Water,Languages,2,4,12,Yes - other,In person,0,5,1,0,5,1,4,1,1,1,2,1,12,12,A lot,Graduate degree,Classical,Fly,Rich,Other,Intertiol aid
USA,OR,2019,10,Male,15,Right-Handed,187,30,190,1,Car,20,0.475,46,Skateboarding/Rollerblading,1000,1000,1000,1000,5,500,30,Same length,100,105,Ring finger,February,Fall,No,No,Meat,Milk,History,7,10,,Yes - broadband connection,In person,20,10,5,1,5,5,12,15,10,4,10,11,0,11,A lot,High school,Ra/Hi ho,Freeze time,Rich,Business erson,Environment
USA,OR,2019,10,Male,17,Right-Handed,180,28,84,1,Car,13,0.314,40,Soccer,500,500,500,500,100,1000,26.5,Right foot,10,1,Same length,Setember,Winter,Yes,No,No favorite,Water,Other,7,11,6,Yes - other,Internet chat or instant messaging,50,50,15,3,5,10,5,2,30,100,100,70,40,10,Some,Other,Ra/Hi ho,Freeze time,Hay,Friend,Other
USA,OR,2019,10,Male,17,Right-Handed,180,28,84,1,Car,13,0.314,40,Soccer,500,500,500,500,100,1000,26.5,Right foot,10,1,Same length,Setember,Winter,Yes,No,No favorite,Water,Other,7,11,6,Yes - other,Internet chat or instant messaging,50,50,15,3,5,10,5,2,30,100,100,70,40,10,Some,Other,Ra/Hi ho,Freeze time,Hay,Friend,Other
USA,OR,2019,10,Female,16,Left-Handed,163,23.5,166,2,Car,8,0.701,42,Athletics,999,800,999,999,200,200,22,Right foot,92,102,Ring finger,November,Summer,No,No,Fruit,Water,Science,6,5,6,Yes - broadband connection,Internet chat or instant messaging,40,50,3,0.5,20,15,14,0.5,6,6,6,5,20,10,A lot,Graduate degree,Punk rock,Fly,Healthy,Doctor or nurse,Environment
USA,OR,2019,10,Female,16,Right-Handed,60,25,149,1,Car,10,0.735,42,Golf,600,600,500,990,300,500,25,Same length,70,61,Index finger,June,Winter,Yes,No,Salads,Energy drink,Other,8,6,8,Yes - broadband connection,Myspace Facebook other social networking sites or blog,50,60,168,18,0,2,6,0,24,15,10,4,20,10,A lot,Graduate degree,Ra/Hi ho,Fly,Rich,Doctor or nurse,Education/Youth develoment
USA,OR,2019,10,Female,17,Right-Handed,162,23,161,1,Car,20,0.715,54,Other,800,700,400,300,400,400,23,Same length,90,95,Ring finger,March,Winter,No,No,Meat,Water,History,8,9,3,Yes - other,In person,30,30,2,1,20,30,20,0,10,1,10,2,13,10,A lot,Graduate degree,Country,Telepathy,Healthy,Relative,Health
USA,OR,2019,9,Male,14,Right-Handed,188,30,74,1,Bus,30,0.366,53,Football (American),503,626,374,775,0,775,12,Same length,70,70,Same length,August,Fall,No,No,Breads/Sandwiches,Milk,Other,7,6,5,Yes - broadband connection,Myspace Facebook other social networking sites or blog,0,12,35,0,10,4,2,49,10,0,10,3,5,10,Some,Some college,Po,Freeze time,Hay,Relative,Health
USA,OR,2019,10,Female,18,Right-Handed,157,21,160,2,Bus,24,0.752,68,Table Tennis,1000,800,500,700,800,1000,21,Same length,4,3,Index finger,August,Summer,No,Yes,Pizza/Pasta,Juice,English,3.5,3.5,5,Yes - broadband connection,In person,0,0,124,0,100,50,20,146,146,126,156,100,0,10,A lot,Graduate degree,Po,Freeze time,Hay,Coach or club leader,Education/Youth develoment
USA,OR,2019,12,Female,15,Right-Handed,155,21,152.5,2,Car,15,0.456,54,Bowling,497,1000,1000,1000,21,43,,,61,,,October,Fall,Yes,No,No favorite,Water,,8,8,4,Yes - broadband connection,Text messaging,0,0,30,2,25,35,10,0,10,5,25,20,0,10,A lot,Undergraduate degree,Rock and roll,Telepathy,Hay,Teacher,Wildlife animals
USA,OR,2019,10,Female,15,Ambidextrous,166.4,32.5,166.9,3,Skateboard/Scooter/Rollerblade,15,0.731,48,Skateboarding/Rollerblading,1000,1000,1000,1000,200,400,32.5,Same length,100,90,Index finger,January,Fall,Yes,No,Seafood,Water,History,8,4.5,6,Yes - other,Internet chat or instant messaging,15,25,10,6,5,15,0,10,8,10,8,15,0,10,Some,Graduate degree,Rhythm and blues (R&B),Telepathy,Hay,Sorts erson,Wildlife animals
USA,OR,2019,10,Female,15,Ambidextrous,166.4,32.5,166.9,3,Skateboard/Scooter/Rollerblade,15,0.731,48,Skateboarding/Rollerblading,1000,1000,1000,1000,200,400,32.5,Same length,100,90,Index finger,January,Fall,Yes,No,Seafood,Water,History,8,4.5,6,Yes - other,Internet chat or instant messaging,15,25,10,6,5,15,0,10,8,10,8,15,0,10,Some,Graduate degree,Rhythm and blues (R&B),Telepathy,Hay,Sorts erson,Wildlife animals
USA,OR,2019,10,Female,15,Right-Handed,171,126,178,1,Walk,1,0.732,57,Baseball/Softball,1000,1000,1000,1000,0,0,125,Right foot,95,85,Ring finger,January,Winter,Yes,No,Pizza/Pasta,Water,English,7,9,3,Yes - other,Cell phone,,,10,6,7,10,7,0,2,5,3,9,0,10,Some,Graduate degree,Ra/Hi ho,Fly,Rich,Relative,Health
USA,OR,2019,10,Male,18,Right-Handed,171,24,175,1,Car,1,0.468,35,Football (American),500,300,700,700,800,900,24,Same length,90,88,Index finger,July,Summer,No,No,Meat,Sorts drink,History,9,10,5,Yes - broadband connection,Cell phone,10,50,8,0,7,10,10,5,7,4,2,6,0,10,Some,Graduate degree,Ra/Hi ho,Fly,Hay,Community leader or elder,Religious
USA,OR,2019,10,Male,15,Right-Handed,163,25,166,2,Bicycle,10,0.65,36,Other,1000,1000,875,796,400,299,25.5,Left foot,85,100,Ring finger,Setember,Fall,No,No,Poultry,Water,Comuters and technology,8.5,11.5,4,Yes - broadband connection,Internet chat or instant messaging,6,8,4,0,0,20,5,20,3,1,1,5,0,10,A lot,Graduate degree,Jazz,Invisibility,Hay,Relative,Environment
USA,OR,2019,10,Female,16,Left-Handed,162,24,160,1,Walk,10,0.419,53,Walking/Hiking,1000,500,500,1000,600,700,24,Same length,8.5,7.5,Index finger,Setember,Fall,Yes,No,Vegetables,Water,Music,6,5,5,Yes - other,Text messaging,300,400,24,10,13,17,11,20,27,16,29,3,0,10,Some,Some college,Po,Telepathy,Healthy,Relative,Health
USA,OR,2019,10,Female,17,Right-Handed,165.5,24,166,2,Car,13,0.9,56,Dancing,1000,1000,900,900,500,500,24,Same length,85,70,Index finger,May,Fall,Yes,No,Breads/Sandwiches,Tea,History,6,8,4,Yes - other,Internet chat or instant messaging,100,105,10,1,10,2,5,0,5,3,5,3,0,10,A lot,Undergraduate degree,Ra/Hi ho,Telepathy,Hay,Teacher,Wildlife animals
USA,OR,2019,10,Female,17,Right-Handed,158.5,23,169,2,Car,10,0.697,56,Other,,,,,,,23,Left foot,75,75,Same length,,Sring,No,No,No favorite,Water,Physical education,7,10,5,Yes - broadband connection,Text messaging,300,310,50,53,15,7,4,0,10,20,0,2,0,10,Some,Graduate degree,Ra/Hi ho,Telepathy,Hay,Relative,Health
USA,OR,2019,10,Female,17,Right-Handed,158.5,23,169,2,Car,10,0.697,56,Other,,,,,,,23,Left foot,75,75,Same length,,Sring,No,No,No favorite,Water,Physical education,7,10,5,Yes - broadband connection,Text messaging,300,310,50,53,15,7,4,0,10,20,0,2,0,10,Some,Graduate degree,Ra/Hi ho,Telepathy,Hay,Relative,Health
USA,OR,2019,10,Male,16,Right-Handed,75,26,179,2,Bus,15,0.2463,0.3,Walking/Hiking,,,,,,,26,,9.5,9.8,,May,Summer,No,No,Other,Milk,Art,6,10,4,Yes - broadband connection,In person,0,0,6,0,2,3,1,14,13,13,20,1,6,9,A lot,Some college,Techno/Electronic,Fly,Hay,Business erson,Wildlife animals
USA,OR,2019,10,Female,15,Right-Handed,156,21,157,1,Car,15,0.796,51,Tennis,1000,1000,900,900,800,1000,21,Same length,87,83,Index finger,Aril,Fall,Yes,No,Pizza/Pasta,Water,History,7,9,4,Yes - other,Text messaging,200,230,10,3,8,2,5,35,12,14,15,12,5,9,A lot,Graduate degree,Po,Fly,Hay,Relative,Health
USA,OR,2019,10,Male,16,Left-Handed,182,24,179,0,Car,7,0.689,60,Athletics,50,650,500,1000,800,750,24,Same length,10.5,10,Same length,June,Fall,No,No,Breads/Sandwiches,Water,History,6,7,4,Yes - other,Internet chat or instant messaging,50,45,0,2,15,3,20,0,12,20,2,4,0,9,A lot,Graduate degree,Po,Super strength,Hay,Politician,Intertiol aid
USA,OR,2019,10,Female,15,Right-Handed,168,24,61,1,Car,20,0.42,50,Golf,900,850,750,800,400,500,23,Same length,8.5,9,Ring finger,March,Winter,Yes,No,Meat,Water,History,6.5,7,3,Yes - other,Text messaging,5,5,7,1,11,21,9,1,7,1,14,6,20,8,Some,Undergraduate degree,Ra/Hi ho,Telepathy,Hay,Coach or club leader,Arts culture sorts
USA,OR,2019,10,Male,16,Right-Handed,180,31,178,1,Car,10,0.47,45,Football (American),900,900,500,450,250,400,31,Same length,85,80,Index finger,November,Winter,No,No,No favorite,Sorts drink,Physical education,6,8,6,Yes - broadband connection,Internet chat or instant messaging,75,85,45,15,6,19,15,3,15,15,2,3,9,8,Some,High school,Ra/Hi ho,Super strength,Healthy,Musician or singer,Education/Youth develoment
USA,OR,2019,10,Female,17,Right-Handed,,23,158,1,Car,3,0.707,32,Other,1000,500,175,500,0,250,24,Left foot,8.5,8,Index finger,March,Fall,Yes,No,Pizza/Pasta,Water,Music,6,8,3,Yes - broadband connection,Myspace Facebook other social networking sites or blog,10,10,70,2,2,100,18,5,75,30,120,50,8,8,A lot,Graduate degree,Country,Invisibility,Healthy,Doctor or nurse,Wildlife animals
USA,OR,2019,10,Female,17,Right-Handed,,23,158,1,Car,3,0.707,32,Other,1000,500,175,500,0,250,24,Left foot,8.5,8,Index finger,March,Fall,Yes,No,Pizza/Pasta,Water,Music,6,8,3,Yes - broadband connection,Myspace Facebook other social networking sites or blog,10,10,70,2,2,100,18,5,75,30,120,50,8,8,A lot,Graduate degree,Country,Invisibility,Healthy,Doctor or nurse,Wildlife animals
USA,OR,2019,10,Female,17,Right-Handed,,23,158,1,Car,3,0.707,32,Other,1000,500,175,500,0,250,24,Left foot,8.5,8,Index finger,March,Fall,Yes,No,Pizza/Pasta,Water,Music,6,8,3,Yes - broadband connection,Myspace Facebook other social networking sites or blog,10,10,70,2,2,100,18,5,75,30,120,50,8,8,A lot,Graduate degree,Country,Invisibility,Healthy,Doctor or nurse,Wildlife animals
USA,OR,2019,10,Female,17,Right-Handed,162.5,22.2,162.5,1,Car,13,0.36,50,Athletics,800,800,500,500,400,400,22.4,Left foot,88,76,Index finger,November,Sring,No,No,Breads/Sandwiches,Water,English,6.5,7,7,Yes - broadband connection,Myspace Facebook other social networking sites or blog,15,15,10,0.25,10,15,15,0,25,15,10,10,0,8,Some,Graduate degree,Ra/Hi ho,Fly,Hay,Relative,Health
USA,OR,2019,10,Female,17,Right-Handed,160,34,163,1,Car,35,0.753,34,Dancing,800,800,850,750,550,650,34,Same length,40,30,Ring finger,March,Winter,Yes,No,Meat,Coffee,Other,5,7,6,Yes - other,Text messaging,5,3,2,1,28,3,21,1,3,2,2,5,0,8,A lot,Graduate degree,Other,Telepathy,Healthy,Other,Environment
USA,OR,2019,10,Female,15,Right-Handed,155,21,159,1,Car,20,0.759,54,Swimming,8,8,8,7,6,6,22,Left foot,70,65,Index finger,January,Fall,Yes,No,Fruit,Water,History,6,9,7,Yes - other,Cell phone,75,120,8,15,7,10,12,9,6,7,9,2,15,7,Some,Graduate degree,Ra/Hi ho,Freeze time,Hay,Other,Arts culture sorts
USA,OR,2019,10,Female,16,Right-Handed,165,24,162,1,Car,7,0.753,70,Soccer,900,900,1000,1000,800,700,24,Same length,82,90,Ring finger,July,Sring,Yes,No,Fruit,Coffee,Mathematics and statistics,7,9,5,Yes - broadband connection,Cell phone,40,50,32,16,6,30,14,0,20,21,10,8,5,7,Some,Some college,Po,Fly,Famous,Musician or singer,Wildlife animals
USA,OR,2019,10,Male,15,Right-Handed,181,30,191,1,Bus,20,0.668,68,Football (American),500,100,500,500,800,200,30,Same length,90,90,Same length,December,Summer,No,No,Meat,Water,Physical education,8,6,3,Yes - other,Myspace Facebook other social networking sites or blog,700,750,1,4,2,7,7,6,7,7,7,7,3,7,Some,Graduate degree,Ra/Hi ho,Super strength,Healthy,Other,Wildlife animals
USA,OR,2019,10,Female,15,Right-Handed,165,23.1,159.5,2,Walk,10,0.728,49,Golf,1000,1000,980,1000,300,100,23.1,Same length,87,100,Ring finger,June,Winter,Yes,No,Desserts,Tea,Art,9,11,5,Yes - other,Cell phone,0,0,4,14,8,5,2,9,3,4,20,14,1,7,A lot,Some college,Po,Freeze time,Rich,Relative,Health
USA,OR,2019,8,Male,13,Right-Handed,157.5,26,68,1,Car,45,0.368,38,Basketball,950,760,570,780,800,600,22,Right foot,9,6,Index finger,July,Summer,Yes,No,Fruit,Water,Mathematics and statistics,7,9,4,Yes - broadband connection,In person,0,0,6,1,0,5,5,2,0,0,3,4,1,7,A lot,Graduate degree,Reggae,Freeze time,Hay,Actor,Health
USA,OR,2019,10,Female,15,Right-Handed,159,25,159,1,Car,5,0.757,0.36,Baseball/Softball,900,800,800,800,600,700,25,Right foot,91,90,Index finger,June,Fall,No,No,Meat,Water,Mathematics and statistics,6,10,5,Yes - other,Internet chat or instant messaging,70,60,20,5,4,10,20,30,50,50,60,15,0,7,Some,Some college,Po,Invisibility,Famous,Actor,Wildlife animals
USA,OR,2019,10,Male,16,Right-Handed,180,27,90,1,Car,10,0.46,48,Other,500,600,100,100,800,800,26,Right foot,94,100,Ring finger,June,Winter,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,7,7,7,Yes - broadband connection,Text messaging,30,40,5,1,21,16,7,14,7,7,7,7,0,7,A lot,Graduate degree,Ra/Hi ho,Freeze time,Rich,Politician,Intertiol aid
USA,OR,2019,10,Female,15,Right-Handed,157,22.5,156,1,Car,10,0.6,56,Walking/Hiking,,,,,,,23,Left foot,70,67,Index finger,October,Summer,Yes,No,Poultry,Water,Social studies,6,8,4,Yes - broadband connection,In person,30,30,28,20,9,9,7,1,13,10,13,3,0,7,A lot,Graduate degree,Ra/Hi ho,Freeze time,Hay,Doctor or nurse,Education/Youth develoment
